0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:26:38 +0800] "GET /MSC/image/login6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:26:38 +0800] "GET /MSC/image/login2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:26:38 +0800] "GET /MSC/image/login4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:27:01 +0800] "POST /MSC/login_conf HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:27:03 +0800] "GET /MSC/login.jsp HTTP/1.1" 200 3227
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:27:03 +0800] "GET /MSC/image/style1.css HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:27:03 +0800] "GET /MSC/image/login1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:27:03 +0800] "GET /MSC/image/login3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:27:03 +0800] "GET /MSC/image/login.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:27:03 +0800] "GET /MSC/image/login6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:27:03 +0800] "GET /MSC/image/login2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:27:03 +0800] "GET /MSC/image/login5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:27:03 +0800] "GET /MSC/image/login4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:29:55 +0800] "POST /MSC/login_conf HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:29:55 +0800] "GET /MSC/teacher_frame.jsp HTTP/1.1" 200 964
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:29:55 +0800] "GET /MSC/teacher_navi.jsp HTTP/1.1" 200 4328
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:29:56 +0800] "GET /MSC/image/style1.css HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:29:56 +0800] "GET /MSC/teacher_main.jsp HTTP/1.1" 200 2056
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:29:59 +0800] "GET /MSC/teacher_cho.jsp HTTP/1.1" 200 2001
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:29:59 +0800] "GET /MSC/image/top.gif HTTP/1.1" 200 5920
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:30:00 +0800] "GET /MSC/index.jsp HTTP/1.1" 200 1018
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:30:00 +0800] "GET /MSC/image/bgpicture.gif HTTP/1.1" 200 3809
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:30:01 +0800] "GET /MSC/teacher_main.jsp HTTP/1.1" 200 2056
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:30:02 +0800] "GET /MSC/teacher_sel.jsp HTTP/1.1" 200 1959
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:30:02 +0800] "GET /MSC/index.jsp HTTP/1.1" 200 1018
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:30:03 +0800] "GET /MSC/teacher_sel_self.jsp?tid=1001 HTTP/1.1" 200 1695
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:30:05 +0800] "GET /MSC/teacher_sel_self_coul.jsp?cno=2001 HTTP/1.1" 200 1138
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:30:08 +0800] "GET /MSC/teacher_sel_other.jsp HTTP/1.1" 200 1201
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:30:11 +0800] "POST /MSC/teacher_sel_other_rs.jsp HTTP/1.1" 200 625
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:30:15 +0800] "GET /MSC/teacher_sub.jsp HTTP/1.1" 200 1974
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:30:15 +0800] "GET /MSC/index.jsp HTTP/1.1" 200 1018
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:30:17 +0800] "GET /MSC/teacher_cho.jsp HTTP/1.1" 200 2001
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:30:17 +0800] "GET /MSC/index.jsp HTTP/1.1" 200 1018
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:30:18 +0800] "GET /MSC/teacher_main.jsp HTTP/1.1" 200 2056
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:30:19 +0800] "GET /MSC/teacher_cho.jsp HTTP/1.1" 200 2001
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:30:19 +0800] "GET /MSC/index.jsp HTTP/1.1" 200 1018
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:30:22 +0800] "GET /MSC/teacher_menu.jsp HTTP/1.1" 200 2099
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:30:36 +0800] "GET /MSC/teacher_main.jsp HTTP/1.1" 200 2056
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:30:37 +0800] "GET /MSC/teacher_cho.jsp HTTP/1.1" 200 2001
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:30:37 +0800] "GET /MSC/index.jsp HTTP/1.1" 200 1018
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:30:38 +0800] "GET /MSC/teacher_sub.jsp HTTP/1.1" 200 1974
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:30:38 +0800] "GET /MSC/index.jsp HTTP/1.1" 200 1018
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:30:38 +0800] "GET /MSC/teacher_cho.jsp HTTP/1.1" 200 2001
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:30:38 +0800] "GET /MSC/index.jsp HTTP/1.1" 200 1018
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:30:43 +0800] "GET /MSC/admin_cou_sel.jsp HTTP/1.1" 200 1197
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:30:51 +0800] "POST /MSC/admin_cou_selrs.jsp HTTP/1.1" 500 3124
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:30:55 +0800] "GET /MSC/teacher_cho_set.jsp HTTP/1.1" 200 2900
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:30:56 +0800] "GET /MSC/admin_cou_sel.jsp HTTP/1.1" 200 1197
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:30:57 +0800] "GET /MSC/teacher_cho_set.jsp HTTP/1.1" 200 2900
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:31:04 +0800] "POST /MSC/tc_slt HTTP/1.1" 500 1804
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:31:09 +0800] "GET /MSC/teacher_cho_del.jsp HTTP/1.1" 200 1648
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:31:10 +0800] "GET /MSC/teacher_cho_seted.jsp?tid=1001 HTTP/1.1" 200 1216
